Unnamed: 0,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Team Name
0,Abrar Ahmed,2023-2023,3,3.0,12.0,0.0,92.0,3.0,2/21,30.66,7.66,24.0,0.0,0.0,0,0,Islamabad United
1,Ahmed Safi Abdullah,2020-2020,3,3.0,8.0,0.0,65.0,4.0,2/17,16.25,8.12,12.0,0.0,0.0,0,0,Islamabad United
2,Akif Javed,2020-2021,11,10.0,34.0,0.0,285.0,10.0,3/43,28.5,8.38,20.4,0.0,0.0,2,0,Islamabad United
3,Ali Khan,2021-2021,3,3.0,8.2,0.0,70.0,2.0,1/10,35.0,8.4,25.0,0.0,0.0,1,0,Islamabad United
4,Amad Butt,2017-2020,16,14.0,40.5,0.0,375.0,15.0,4/27,25.0,9.18,16.3,1.0,0.0,8,0,Islamabad United
6,Asif Ali,2016-2023,76,1.0,3.0,0.0,27.0,2.0,2/27,13.5,9.0,9.0,0.0,0.0,30,0,Islamabad United
9,Azhar Mahmood,2016-2016,2,2.0,7.0,0.0,57.0,1.0,1/22,57.0,8.14,42.0,0.0,0.0,2,0,Islamabad United
11,S Badree,2016-2017,7,7.0,26.0,1.0,192.0,4.0,1/20,48.0,7.38,39.0,0.0,0.0,1,0,Islamabad United
14,TK Curran,2023-2023,5,5.0,20.0,0.0,181.0,8.0,3/34,22.62,9.05,15.0,0.0,0.0,2,0,Islamabad United
16,LA Dawson,2022-2022,7,7.0,23.3,1.0,159.0,9.0,3/16,17.66,6.76,15.6,0.0,0.0,1,0,Islamabad United
17,M de Lange,2022-2022,5,5.0,15.0,0.0,153.0,2.0,1/32,76.5,10.2,45.0,0.0,0.0,2,0,Islamabad United
18,CS Delport,2019-2019,12,4.0,9.0,0.0,66.0,4.0,2/24,16.5,7.33,13.5,0.0,0.0,1,0,Islamabad United
20,JP Duminy,2018-2018,10,3.0,9.0,0.0,70.0,1.0,1/38,70.0,7.77,54.0,0.0,0.0,8,0,Islamabad United
21,Faheem Ashraf,2018-2023,60,60.0,202.5,1.0,1668.0,72.0,6/19,23.16,8.22,16.9,1.0,1.0,22,0,Islamabad United
22,Fawad Ahmed,2021-2021,5,5.0,20.0,0.0,167.0,6.0,2/25,27.83,8.35,20.0,0.0,0.0,0,0,Islamabad United
23,Fazalhaq Farooqi,2023-2023,6,6.0,23.1,0.0,183.0,11.0,3/25,16.63,7.89,12.6,0.0,0.0,2,0,Islamabad United
24,ST Finn,2018-2018,5,5.0,16.0,0.0,124.0,5.0,3/35,24.8,7.75,19.2,0.0,0.0,1,0,Islamabad United
25,L Gregory,2021-2021,2,2.0,5.0,0.0,42.0,2.0,2/31,21.0,8.4,15.0,0.0,0.0,0,0,Islamabad United
28,Hasan Ali,2021-2023,27,27.0,105.3,1.0,931.0,35.0,3/30,26.6,8.82,18.0,0.0,0.0,9,0,Islamabad United
30,Hussain Talat,2017-2021,40,13.0,26.0,0.0,261.0,7.0,2/18,37.28,10.03,22.2,0.0,0.0,12,0,Islamabad United
31,Iftikhar Ahmed,2018-2021,13,6.0,8.1,0.0,79.0,1.0,1/11,79.0,9.67,49.0,0.0,0.0,9,0,Islamabad United
32,Imran Khalid,2016-2017,12,11.0,28.1,1.0,199.0,10.0,4/20,19.9,7.06,16.9,1.0,0.0,5,0,Islamabad United
42,Mohammad Irfan,2016-2017,14,14.0,51.0,2.0,365.0,14.0,3/22,26.07,7.15,21.8,0.0,0.0,2,0,Islamabad United
43,Mohammad Sami,2016-2019,36,36.0,127.0,1.0,875.0,42.0,5/8,20.83,6.88,18.1,0.0,1.0,11,0,Islamabad United
44,Mohammad Wasim,2021-2023,25,25.0,91.3,0.0,887.0,28.0,4/31,31.67,9.69,19.6,1.0,0.0,8,0,Islamabad United
45,Mubasir Khan,2022-2023,14,11.0,16.0,0.0,139.0,2.0,1/5,69.5,8.68,48.0,0.0,0.0,5,0,Islamabad United
47,Muhammad Musa,2019-2022,19,18.0,58.4,2.0,550.0,19.0,3/18,28.94,9.37,18.5,0.0,0.0,3,0,Islamabad United
51,SR Patel,2018-2019,17,17.0,53.0,0.0,379.0,17.0,4/34,22.29,7.15,18.7,1.0,0.0,6,0,Islamabad United
58,Rumman Raees,2016-2023,38,38.0,132.0,0.0,1023.0,40.0,4/25,25.57,7.75,19.8,1.0,0.0,10,0,Islamabad United
59,AD Russell,2016-2018,14,13.0,44.2,0.0,365.0,20.0,3/18,18.25,8.23,13.3,0.0,0.0,6,0,Islamabad United
60,Saeed Ajmal,2016-2017,10,10.0,33.4,0.0,273.0,9.0,3/27,30.33,8.1,22.4,0.0,0.0,1,0,Islamabad United
63,Shadab Khan,2017-2023,72,71.0,256.4,1.0,1934.0,77.0,5/28,25.11,7.53,20.0,2.0,1.0,30,0,Islamabad United
67,DW Steyn,2020-2020,4,4.0,11.0,1.0,84.0,2.0,1/18,42.0,7.63,33.0,0.0,0.0,0,0,Islamabad United
72,Waqas Maqsood,2019-2022,10,10.0,37.4,0.0,350.0,14.0,4/35,25.0,9.29,16.1,1.0,0.0,2,0,Islamabad United
73,SR Watson,2016-2017,15,15.0,37.0,0.0,326.0,11.0,4/44,29.63,8.81,20.1,1.0,0.0,2,0,Islamabad United
74,Zafar Gohar,2018-2022,11,11.0,34.0,0.0,287.0,11.0,3/25,26.09,8.44,18.5,0.0,0.0,2,0,Islamabad United
75,Zahid Mahmood,2022-2022,2,2.0,7.0,0.0,49.0,1.0,1/20,49.0,7.0,42.0,0.0,0.0,0,0,Islamabad United
76,Zahir Khan,2022-2022,2,2.0,7.0,0.0,67.0,2.0,1/32,33.5,9.57,21.0,0.0,0.0,1,0,Islamabad United
77,Zeeshan Zameer,2022-2023,3,3.0,4.3,0.0,47.0,1.0,1/10,47.0,10.44,27.0,0.0,0.0,1,0,Islamabad United
0,Aamer Yamin,2019-2023,27,26.0,75.2,2.0,686.0,19.0,3/37,36.1,9.1,23.7,0.0,0.0,7,0,Karachi Kings
1,Abbas Afridi,2021-2021,4,4.0,10.0,0.0,102.0,4.0,2/27,25.5,10.2,15.0,0.0,0.0,1,0,Karachi Kings
3,Akif Javed,2023-2023,5,5.0,15.3,0.0,135.0,8.0,4/28,16.87,8.7,11.6,1.0,0.0,0,0,Karachi Kings
4,Ali Khan,2020-2020,1,1.0,3.0,0.0,36.0,1.0,1/36,36.0,12.0,18.0,0.0,0.0,0,0,Karachi Kings
5,Arshad Iqbal,2020-2021,16,16.0,53.2,1.0,466.0,17.0,3/16,27.41,8.73,18.8,0.0,0.0,1,0,Karachi Kings
8,Bilawal Bhatti,2016-2016,1,1.0,4.0,0.0,36.0,2.0,2/36,18.0,9.0,12.0,0.0,0.0,0,0,Karachi Kings
9,RS Bopara,2016-2019,31,18.0,43.0,0.0,376.0,15.0,6/16,25.06,8.74,17.2,0.0,1.0,16,0,Karachi Kings
10,DT Christian,2021-2021,5,5.0,12.2,0.0,134.0,4.0,1/12,33.5,10.86,18.5,0.0,0.0,2,0,Karachi Kings
13,BCJ Cutting,2023-2023,6,2.0,4.0,0.0,41.0,3.0,2/12,13.66,10.25,8.0,0.0,0.0,6,0,Karachi Kings
